Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
9,587.0,0.08333333,0.00551459,0.00028457,0.00043569,4.20840243,12
44,47582.0,0.17970402,0.00619573,0.03453239,0.00123341,3.48894417,11
5,234.0,0.70000000,0.00008139,0.00011405,0.00010772,4.58374793,12
3,3238.0,1.00000000,0.00000000,0.00806838,0.00007125,3.61276949,11
21,14597.0,0.38571429,0.00078583,0.01638693,0.00024333,3.39248203,11
2,97.0,0.00000000,0.00000015,0.00000009,0.00018529,6.20563847,14
4,1147.0,0.66666667,0.00000139,0.00004289,0.00009025,5.26755113,13
4,6707.0,1.00000000,0.00000000,0.01056244,0.00010193,3.58955224,11
7,23237.0,0.95238095,0.00000001,0.00422699,0.00022583,3.71227197,11
3,429.0,0.33333333,0.00055294,0.00194193,0.00009656,4.03731343,11
1,95.0,0.00000000,0.00000000,0.00064446,0.00004335,4.10696517,12
4,1260.0,0.50000000,0.00000023,0.00149994,0.00007481,4.14538419,12
1,3912.0,0.00000000,0.00000000,0.00090191,0.00009210,4.00552792,11
4,448.0,0.83333333,0.00000322,0.00625339,0.00004566,3.65892758,11
4,1766.5,1.00000000,0.00000000,0.00429361,0.00005662,3.97927032,12
5,1205.0,0.50000000,0.00001117,0.00012449,0.00015935,4.77584301,12
2,1428.0,0.00000000,0.00055294,0.00165320,0.00012751,4.00442233,12
2,1326.0,1.00000000,0.00000000,0.00006792,0.00007338,4.99336650,13
6,3550.5,0.40000000,0.00110743,0.00216231,0.00028847,3.64704256,11
2,340.0,1.00000000,0.00000000,0.00140295,0.00004527,3.95356551,11
4,1815.0,0.33333333,0.00055474,0.00174536,0.00012688,4.08844666,11
5,2206.5,0.70000000,0.00000023,0.01026109,0.00006907,3.60972913,11
4,14911.0,0.33333333,0.00055310,0.00044426,0.00035852,4.27777778,12
3,110.0,1.00000000,0.00000000,0.00000145,0.00009796,5.89192924,14
4,2264.0,0.50000000,0.00110558,0.00308738,0.00017420,3.87064677,11
2,5968.0,0.00000000,0.00000029,0.00004768,0.00016114,4.99281371,13
5,725.5,0.40000000,0.00055374,0.00016632,0.00013499,4.57683803,12
5,2749.0,0.50000000,0.00069739,0.00048310,0.00016809,4.18380321,10
2,38.0,1.00000000,0.00000000,0.00000001,0.00016290,6.73244887,12
1,15.0,0.00000000,0.00000000,0.00000023,0.00009312,6.09590934,14
3,684.0,0.33333333,0.00110558,0.00142360,0.00014804,4.14510779,12
3,2376.0,0.66666667,0.00000051,0.00097454,0.00010465,4.09563295,12
2,738.0,0.00000000,0.00000006,0.00261971,0.00005363,4.20093975,12
1,200.0,0.00000000,0.00000000,0.00005918,0.00004934,4.97180763,12
15,7067.5,0.49523810,0.00012273,0.01856032,0.00017059,3.40270868,11
2,210.0,1.00000000,0.00000000,0.00049922,0.00007561,4.34687673,12
2,4214.0,1.00000000,0.00000000,0.00249648,0.00007480,4.13598673,12
1,118.0,0.00000000,0.00000000,0.00113481,0.00004354,4.26395799,12
2,1200.0,0.00000000,0.00055294,0.00000001,0.00033177,7.47899392,16
7,9065.0,0.42857143,0.00048013,0.00248905,0.00015512,3.77169707,11
7,3474.0,0.52380952,0.00055491,0.00333261,0.00016066,3.97236042,11
4,236.0,0.33333333,0.00000163,0.00001270,0.00015783,5.42647872,13
9,9190.0,0.47222222,0.00062669,0.00082406,0.00042135,4.10143726,10
1,2100.0,0.00000000,0.00000000,0.00190515,0.00007076,3.98065229,12
8,7478.5,0.42857143,0.00115218,0.00208428,0.00024337,4.02045329,12
1,126.0,0.00000000,0.00000000,0.00046958,0.00004577,4.39414041,12
4,15315.0,0.50000000,0.00055294,0.00516520,0.00029611,3.66141515,11
1,150.0,0.00000000,0.00000000,0.00049036,0.00004434,4.34715312,12
1,9.0,0.00000000,0.00000000,0.00000419,0.00004888,5.28385849,10
95,182107.0,0.20918253,0.01649081,0.08665962,0.00306406,3.04311774,10
3,345.0,1.00000000,0.00000000,0.00000562,0.00011716,5.19872858,13
172,1129605.0,0.13783490,0.02489618,0.12207139,0.00860287,2.91542289,11
2,1425.0,1.00000000,0.00000000,0.00004445,0.00011795,4.96876727,13
3,850.0,0.66666667,0.00000108,0.00000113,0.00041309,5.73106689,11
2,228.0,0.00000000,0.00055302,0.00000001,0.00019709,6.73244887,12
5,2275.0,0.60000000,0.00000407,0.00220901,0.00009226,4.05527916,11
2,132.0,0.00000000,0.00027640,0.00000519,0.00011988,5.19513543,13
