Airport,Degree,Strength,Clustering Coefficient,Average Path Length,Maximum Path Length,Betweenness,Eigenvector Centrality,PageRank
SHS,1,435.0,0.00000000,4.72968491,12,0.00000000,0.00011373,0.00004629
SHV,8,15571.0,0.92857143,3.85019348,12,0.00000026,0.00944493,0.00015552
SHW,3,1226.5,0.66666667,5.08374793,12,0.00000003,0.00011250,0.00007034
SHX,2,97.0,0.00000000,5.20702045,13,0.00055264,0.00000506,0.00015128
SHY,3,747.0,0.66666667,4.58181316,12,0.00000114,0.00013997,0.00009505
SIA,39,72445.0,0.40890688,3.61967938,11,0.00228162,0.00838889,0.00104759
SIC,2,79.0,1.00000000,4.48811498,12,0.00000000,0.00065818,0.00004358
SID,15,9615.0,0.32380952,3.37534549,11,0.00364376,0.01959790,0.00043271
SIJ,1,95.0,0.00000000,5.32255390,13,0.00000000,0.00000852,0.00007193
SIN,92,412316.0,0.17606307,2.92620232,9,0.07536240,0.05305103,0.00589997
SIP,10,2490.0,0.55555556,3.76672195,11,0.00000626,0.00851170,0.00009653
SIR,1,36.0,0.00000000,3.81343284,11,0.00000000,0.00259107,0.00004180
SIT,2,2940.0,1.00000000,4.90132670,13,0.00000000,0.00004723,0.00036259
SIX,2,272.0,0.00000000,5.23189608,12,0.00055294,0.00000516,0.00019023
SJB,2,76.0,1.00000000,5.84770591,14,0.00000000,0.00000213,0.00007975
SJC,37,205896.5,0.57057057,3.27694859,11,0.00028908,0.03895620,0.00155077
SJD,14,20879.0,0.86813187,3.51437258,11,0.00002566,0.01800201,0.00019793
SJI,1,680.0,0.00000000,4.11940299,10,0.00000000,0.00043088,0.00005136
SJJ,12,8368.5,0.83333333,3.59010503,11,0.00000133,0.02114371,0.00013981
SJK,3,1242.0,1.00000000,4.09286899,12,0.00000000,0.00136361,0.00005753
SJL,1,90.0,0.00000000,5.91293532,14,0.00000000,0.00000131,0.00005887
SJO,33,41031.5,0.19696970,3.56301824,12,0.00740353,0.01728736,0.00105149
SJP,6,6476.0,0.53333333,4.09425097,12,0.00000252,0.00104278,0.00018365
SJT,3,2232.0,1.00000000,3.93117745,12,0.00000000,0.00354805,0.00005643
SJU,53,140684.0,0.27866473,3.26810392,11,0.00468141,0.04744165,0.00155481
SJW,16,4044.0,0.55000000,3.75815368,11,0.00006662,0.00416191,0.00010862
SJY,1,684.0,0.00000000,4.12962963,12,0.00000000,0.00111113,0.00005002
SJZ,1,562.0,0.00000000,5.24571587,13,0.00000000,0.00002094,0.00007085
SKB,8,5568.5,0.57142857,3.80016584,12,0.00007686,0.00361920,0.00012706
SKD,2,1052.0,1.00000000,3.86263129,11,0.00000000,0.00278576,0.00006781
SKE,1,684.0,0.00000000,4.56882255,12,0.00000000,0.00022439,0.00004944
SKG,30,43102.0,0.51264368,3.44803759,11,0.00066232,0.04368544,0.00059365
SKK,3,423.0,1.00000000,5.19817579,13,0.00000000,0.00001061,0.00017584
SKN,3,1739.0,1.00000000,5.26782753,13,0.00000000,0.00004252,0.00008792
SKO,2,122.0,1.00000000,4.32365948,12,0.00000000,0.00075770,0.00004510
SKP,22,13039.0,0.76623377,3.47899392,11,0.00003978,0.03922297,0.00019247
SKZ,7,1635.0,0.38095238,4.15975677,11,0.00057499,0.00107234,0.00016076
SLA,6,6807.5,0.53333333,4.09121061,12,0.00005567,0.00083691,0.00019582
SLC,66,268953.0,0.26946387,3.35268104,11,0.00603802,0.04568358,0.00265213
SLH,3,76.0,0.33333333,7.06578220,13,0.00110558,0.00000001,0.00025557
SLK,3,627.0,1.00000000,4.54560531,13,0.00000000,0.00114500,0.00005552
SLL,2,2902.0,1.00000000,4.00082919,11,0.00000000,0.00164247,0.00008814
SLM,2,312.0,1.00000000,4.46296296,12,0.00000000,0.00177606,0.00004417
SLN,3,722.0,0.66666667,4.38142620,12,0.00000008,0.00099519,0.00008325
SLP,7,6483.0,0.71428571,3.94444444,12,0.00000455,0.00392149,0.00010845
SLQ,3,51.0,0.33333333,5.20674406,13,0.00055272,0.00000515,0.00017415
SLU,16,14071.5,0.45000000,3.41182974,11,0.00026312,0.01571198,0.00021873
SLW,2,1951.0,1.00000000,3.94665561,12,0.00000000,0.00263665,0.00006048
SLX,1,72.0,0.00000000,5.65450525,14,0.00000000,0.00000246,0.00004965
SLY,6,1536.0,0.26666667,3.87451631,11,0.00016191,0.00245307,0.00012954
SLZ,6,10491.5,0.60000000,4.54947485,12,0.00001590,0.00021706,0.00030945
SMA,1,576.0,0.00000000,4.93311222,13,0.00000000,0.00006891,0.00005944
SMI,2,1406.0,1.00000000,4.04228856,11,0.00000000,0.00158210,0.00006208
SMJ,2,32.0,1.00000000,6.72996130,12,0.00000000,0.00000002,0.00015031
SMK,2,354.0,1.00000000,5.20536208,13,0.00000000,0.00000544,0.00017047
SML,2,350.0,1.00000000,4.34687673,12,0.00000000,0.00049922,0.00007795
SMM,3,38.0,1.00000000,4.55500276,11,0.00000000,0.00012188,0.00004233
SMQ,2,486.0,1.00000000,5.41846324,12,0.00000000,0.00000568,0.00008136
SMR,6,5221.0,0.73333333,4.26119403,12,0.00000066,0.00067198,0.00015138
SMS,2,476.0,1.00000000,4.58485351,12,0.00000000,0.00010964,0.00011284
SMX,1,1830.0,0.00000000,3.73079049,11,0.00000000,0.00182051,0.00005538
SNA,20,126491.0,0.91578947,3.42012161,11,0.00000331,0.02800442,0.00095201
SNB,2,156.0,1.00000000,4.76838032,11,0.00000000,0.00005385,0.00007916
SNE,3,368.0,1.00000000,4.37258154,12,0.00000000,0.00036874,0.00006543
SNN,17,35610.0,0.58088235,3.31923715,11,0.00007338,0.03132858,0.00035105
SNO,2,1043.0,1.00000000,3.95688226,11,0.00000000,0.00119305,0.00007130
SNP,3,118.0,0.66666667,4.21420674,12,0.00000046,0.00028878,0.00010402
SNV,2,246.0,1.00000000,5.26672195,13,0.00000000,0.00002688,0.00005027
SNW,6,1871.0,0.60000000,4.61083472,11,0.00000117,0.00010609,0.00014382
SOC,2,1683.0,1.00000000,3.91984522,10,0.00000000,0.00115834,0.00006712
SOD,1,184.0,0.00000000,4.09867330,12,0.00000000,0.00093742,0.00004386
SOF,35,20187.0,0.61176471,3.39939193,11,0.00030008,0.05287832,0.00031773
SOG,4,2035.0,0.83333333,4.28413488,12,0.00000010,0.00128998,0.00012997
SOJ,2,666.0,1.00000000,5.26920951,13,0.00000000,0.00002174,0.00007083
SOM,2,2543.0,1.00000000,4.26893311,12,0.00000000,0.00073693,0.00008476
SON,9,955.0,0.25000000,5.06992814,11,0.00331508,0.00001914,0.00057447
SOO,2,540.0,0.00000000,4.07103372,12,0.00055294,0.00153275,0.00012545
SOP,1,662.0,0.00000000,4.15505804,12,0.00000000,0.00139872,0.00004596
SOQ,5,914.0,0.40000000,4.90685462,11,0.00000110,0.00004854,0.00010304
SOU,15,11695.5,0.57142857,3.54671089,11,0.00022047,0.01757491,0.00017938
SOV,2,32.0,0.00000000,5.21337756,13,0.00027640,0.00000495,0.00009723
SOW,1,342.0,0.00000000,4.18629077,12,0.00000000,0.00127277,0.00004371
SOY,3,72.0,0.66666667,5.57573245,13,0.00000008,0.00000684,0.00007733
SPC,17,9304.0,0.77205882,3.59093422,11,0.00012303,0.02334019,0.00012671
SPD,2,735.0,1.00000000,4.22388060,11,0.00000000,0.00049553,0.00006565
SPI,2,2478.0,1.00000000,3.80348259,12,0.00000000,0.00383726,0.00005752
SPK,35,239138.0,0.22016807,3.46655611,11,0.00049286,0.00931472,0.00208833
SPN,8,15176.0,0.53571429,3.69900498,11,0.00035790,0.00396218,0.00023274
SPR,3,3668.0,0.33333333,4.84162521,13,0.00055294,0.00011828,0.00021077
SPS,1,2238.0,0.00000000,3.95936982,12,0.00000000,0.00177431,0.00005624
SPU,6,5284.0,0.60000000,3.65588723,11,0.00000683,0.00902153,0.00010896
SPW,2,610.0,0.00000000,4.78247651,13,0.00000005,0.00016374,0.00005597
SQG,2,72.0,0.00000000,5.40823659,12,0.00055294,0.00000492,0.00012292
SQH,1,128.0,0.00000000,4.47595357,11,0.00000000,0.00016914,0.00004384
SQO,2,1100.0,1.00000000,4.07131012,12,0.00000000,0.00155997,0.00012096
SRE,4,2709.0,1.00000000,4.84936429,13,0.00000000,0.00016040,0.00012701
SRG,2,4329.5,1.00000000,4.42647872,11,0.00000000,0.00027850,0.00011158
SRI,5,768.0,0.10000000,4.90878939,11,0.00163765,0.00002476,0.00029672
SRP,2,1880.0,1.00000000,4.28164732,12,0.00000000,0.00106218,0.00006441
SRQ,10,15290.5,0.93333333,3.59508015,12,0.00000076,0.01617289,0.00014456
SRV,2,36.0,1.00000000,5.20729685,13,0.00000000,0.00000515,0.00010505
SRX,3,554.0,1.00000000,4.43781095,12,0.00000000,0.00095271,0.00005980
SRY,2,463.0,1.00000000,4.19900498,12,0.00000000,0.00094968,0.00005322
SRZ,21,23038.0,0.25238095,3.85185185,12,0.00441580,0.00583704,0.00075436
SSA,20,63258.0,0.26842105,3.78413488,12,0.00187004,0.00525739,0.00104043
SSG,7,1996.0,0.42857143,3.72001106,11,0.00022481,0.00534527,0.00009907
SSH,13,8991.5,0.58974359,3.62603648,11,0.00009772,0.01798009,0.00018612
SSI,1,810.0,0.00000000,3.91487009,12,0.00000000,0.00216869,0.00004667
SSJ,4,2294.0,0.66666667,4.89469320,12,0.00000046,0.00008046,0.00010876
SSM,1,714.0,0.00000000,5.00386954,13,0.00000000,0.00002937,0.00009562
SSR,2,133.0,0.00000000,6.07048093,12,0.00000009,0.00000065,0.00017151
SSX,3,2726.5,0.66666667,3.97705915,12,0.00002383,0.00253009,0.00010179
STB,1,713.0,0.00000000,4.99170813,13,0.00000000,0.00005536,0.00005359
STC,2,1836.0,0.00000000,4.04560531,12,0.00055294,0.00138343,0.00011925
STG,2,62.0,1.00000000,4.21586512,12,0.00000000,0.00028364,0.00006680
STI,1,896.0,0.00000000,4.26755113,12,0.00000000,0.00084282,0.00004985
STL,100,479420.5,0.25555556,3.14372582,11,0.00611432,0.07788752,0.00368346
STM,8,3092.0,0.21428571,4.89883914,13,0.00181847,0.00011932,0.00036459
STO,100,327986.0,0.17757576,3.07213930,11,0.01926060,0.08627936,0.00461289
STR,77,113412.5,0.32946001,3.32587065,11,0.00097339,0.08361436,0.00116681
STS,2,1230.0,1.00000000,3.72664456,11,0.00000000,0.00330737,0.00005057
STT,15,20302.0,0.36190476,3.58872305,12,0.00128158,0.01216848,0.00031759
STW,2,1056.0,1.00000000,3.87617468,11,0.00000000,0.00266375,0.00006580
STX,9,10007.5,0.47222222,3.98286346,12,0.00013938,0.00470753,0.00017189
SUB,15,40376.0,0.31428571,3.70591487,10,0.00111099,0.00350906,0.00085313
SUF,3,9561.0,1.00000000,3.60558320,11,0.00000000,0.00811581,0.00012772
SUG,1,192.0,0.00000000,4.56937535,11,0.00000000,0.00010458,0.00004410
SUH,2,310.0,0.00000000,4.67357656,11,0.00055294,0.00025925,0.00012221
SUJ,4,184.0,0.50000000,4.22719735,12,0.00000146,0.00162352,0.00005847
SUL,1,88.0,0.00000000,5.15920398,12,0.00000000,0.00001904,0.00004882
SUN,2,1988.0,1.00000000,3.97346600,12,0.00000000,0.00195477,0.00005966
SUR,2,154.0,0.00000000,5.76948590,14,0.00003069,0.00000132,0.00012398
SUV,15,2466.0,0.06666667,4.41680486,11,0.00497390,0.00013371,0.00070964
SUX,2,3734.0,1.00000000,3.97622996,12,0.00000000,0.00276685,0.00007026
SVA,2,516.0,1.00000000,5.20232172,13,0.00000000,0.00000526,0.00017604
SVB,4,776.0,0.83333333,4.58402432,12,0.00000007,0.00011383,0.00017439
SVC,1,342.0,0.00000000,4.42150359,12,0.00000000,0.00051574,0.00004438
SVD,7,4375.0,0.61904762,4.17855169,12,0.00008248,0.00194921,0.00013771
SVG,12,56683.5,0.45454545,3.58264234,11,0.00088353,0.01094241,0.00075180
SVJ,2,1591.0,1.00000000,5.27307905,13,0.00000000,0.00002079,0.00008746
SVL,3,828.0,0.66666667,4.12907684,12,0.00000008,0.00115132,0.00008073
SVQ,15,28445.0,0.65714286,3.53537866,11,0.00005653,0.02271181,0.00028975
SVS,3,65.0,1.00000000,4.89414041,13,0.00000000,0.00002678,0.00006405
SVU,3,1002.0,1.00000000,4.42177999,11,0.00000000,0.00010858,0.00020557
SVX,20,5288.0,0.42631579,3.59646213,11,0.00055375,0.01210839,0.00019278
SVZ,4,7216.0,0.50000000,4.26008845,12,0.00000597,0.00083685,0.00017332
SWA,23,18237.5,0.66007905,3.70619127,11,0.00003179,0.00602646,0.00024680
SWF,6,7003.5,1.00000000,3.73189608,12,0.00000000,0.01054213,0.00008516
SWG,2,96.0,0.00000000,8.71503593,14,0.00165792,0.00000000,0.00027200
SWJ,2,57.0,1.00000000,5.07545605,11,0.00000000,0.00001812,0.00006716
SWP,2,152.0,1.00000000,4.60779436,12,0.00000000,0.00013455,0.00005098
SWQ,1,112.0,0.00000000,4.91680486,11,0.00000000,0.00002043,0.00004542
SWR,2,78.0,0.00000000,5.73161968,11,0.00027805,0.00000057,0.00010872
SXB,23,32344.0,0.66798419,3.47263682,11,0.00008111,0.03325739,0.00038451
SXH,1,9.5,0.00000000,5.73687120,11,0.00000000,0.00000059,0.00004721
SXL,1,432.0,0.00000000,4.19264787,12,0.00000000,0.00113700,0.00004538
SXM,28,27251.0,0.28571429,3.42509674,11,0.00189767,0.01825880,0.00048477
SXP,3,126.0,0.66666667,5.20038695,13,0.00000026,0.00000561,0.00014753
SXR,3,3038.0,1.00000000,4.11967938,11,0.00000000,0.00083639,0.00012615
SXW,5,135.0,0.40000000,5.72692095,11,0.00027685,0.00000059,0.00015221
